stopID,stop_Cname,stop_Ename,lon,lat,address
59037,永春高中,Yongchun High School,121.579780430471,25.0334460670503,松山路大都會客運松職站停車場對面
24726,內湖派出所,Neihu Police Substation,121.59099199999999,25.082457,內湖路二段370號同向
24727,碧湖國小,Bihu Elementary School,121.592413127857,25.083647050321,內湖路2段426號
24728,碧山路口,Bishan Rd. Entrance,121.59174499999999,25.086236,臺北市內湖路三段70號
24729,碧山巖(白石湖吊橋),Bishanyan(Baishihu Bridge),121.58787,25.09841,碧山路碧山巖門口(向南)
24731,觀光草莓園,Sightseeing Strawberry Park,121.589591215481,25.103652545567197,碧山路(向南)
24732,恆光禪寺,Hengguang Temple,121.58994140000001,25.10548778,碧山路44-6號(向西)
24733,石崁,Shkan,121.5949014,25.10370701,碧山路同向
24740,碧湖國小,Bihu Elementary School,121.59248240000001,25.0838005,內湖路二段363號同向
24741,內湖派出所,Neihu Police Substation,121.590028,25.081986999999998,臺北市內湖路二段257號同向(向西)
24763,捷運昆陽站,MRT Kunyang,121.59306000000001,25.050051999999997,臺北市南港區忠孝東路六段418號(向東)
24764,南港高中,Nangang High School,121.595233108141,25.0529513842885,向陽路電力服務處北側
24765,南港分局(向陽),Nangang Police Dist.(Xiangyang),121.594415258716,25.055334513590694,向陽路重陽路口北側30公尺(向北)
24766,石潭公園(成功),Shitan Park(Chenggong),121.59128100000001,25.061289000000002,向陽路成功路二段橋下對面
24767,上灣仔,Shangwanzi,121.590714855835,25.066818699183997,成功路二段179號對面
24768,湖興,Huxing,121.59085370773,25.067861865327,成功路二段233號同向
24769,國防醫學中心,National Defense Medical Center,121.59003119631599,25.0712104683315,成功路二段414號同向
24770,將軍嶺,Jiangjun Ling,121.590016770287,25.0738091792986,成功路二段367號同向
24773,內湖派出所一,Neihu Police Substation1,121.59044705985,25.081339634265,成功路三段174巷18號(向南)
24774,國立臺灣戲曲學院,National Taiwan College of Performing Arts,121.58736,25.08164,內湖路二段177號同向
24776,湖光市場,Huguang Market,121.59200882873999,25.081699766621103,成功路四段49號同向
24777,捷運內湖站,MRT Neihu Sta.,121.594132,25.08334,成功路四段155號同向(向北)
24778,大湖國小,Dahu Elementary School,121.5996591,25.08818957,大湖山莊街217號旁
24779,大湖,Dahu,121.6001,25.08460273,成功路四段364號同向(向東)
24780,老爺山莊,Laoye Shanzhuang,121.60754080000001,25.11477472,長青路210巷巷口
24850,大坑,Dakeng,121.6549517,25.02710056,台北市南港區舊莊街2段312號斜對面
24851,舊莊二站,Jiuzhang Stop 2,121.62437609999999,25.03749047,台北市南港區舊莊街2段281號旁
24852,舊莊,Jiuzhuang Bus Terminal,121.62283970000001,25.03811142,舊莊街一段216巷南側(向西)
24853,舊莊一站,Jiuzhuang 1st. Stop,121.61904443300399,25.0409122787157,台北市南港區舊莊街1段163號
57044,中山北路口,Zhongshan N. Rd. Entrance,121.523591,25.105781,德行西路27號對向(向東)
57046,石油新村,Shiyou New Village,121.52595409999999,25.10679142,德行東路26號同向
57047,忠義新城,Zhongyi New Village,121.5277039,25.10740411,德行東路121號對向
57048,德行忠誠路口,Dexing and Zhongcheng Intersection,121.52965,25.10813,德行東路154號同向
57049,蘭雅國中,Lanya Junior High School,121.53065017431999,25.1095102588294,忠誠路二段25號同向
57050,天母棒球場(士東),Tianmu Baseball Stadium,121.53289,25.11244,士東路134號同向
57051,士東路,Shidong Rd.,121.53663046647699,25.1131959694498,士東路206號同向
57052,職能發展學院一,Taipei City Vocational Development Institute 1,121.53841136462499,25.1136502479636,士東路316號
26866,中影文化城,CMPC Movie City,121.543765927365,25.0972634661547,至善路二段5號同向(向西)
122299,新興國中(新生),XinXing Junior High School (Xinsheng),121.52747,25.061139999999998,新生北路二段120號(向南)
29265,康寧天闊站,Donghu Public Housing,121.61341548745001,25.077014045415,臺北市內湖區康寧路3段75巷179號(向東)
29268,康寧護專,Kangning Junior College of Medical Care & Management,121.6093047,25.07450422,康寧路137號北側20公尺
24978,康樂街,Kangle St.,121.619134959956,25.0711232284945,康樂街116號(向南)
56994,三總內湖站,Tri-Service General Hospital,121.592095,25.071852,三軍總醫院門診部前南側
57026,天玉里,Tianyu Villiage,121.52671770000002,25.12118051,天母北路59號同向(向北)
25158,樟山寺一,Zhangshan Temple 1,121.58037009999998,24.97414808,指南路三段同向
36070,市立工農,Songshan High School of Agriculture and Industry,121.57265020000001,25.04085411,忠孝東路五段248號同向
35992,幸福戲院,Xingfu Theater,121.48284271163999,25.078913499794,三和路4段175號
35993,捷運徐匯中學站,MRT St. Ignatius High School,121.480476,25.080319,中山一路捷運徐匯中學站2號出口(向西)
35994,民和公寓,Minhe Apartment,121.4791180235,25.081091473610602,中山ㄧ路66號
35995,溪墘,Xiqian,121.47668325975701,25.08167000000001,中山ㄧ路122巷西側20公尺
35996,蘆洲派出所,Luzhou Police Substation,121.47350517343,25.082097262543996,中山二路46號
35997,蘆洲監理站,Luzhou Motor Vehicles Office,121.47144930058998,25.081456838401,中山二路138號
35998,和平路口,Heping Intersection,121.46947393616999,25.079530504017,中山二路236號
35999,九芎街口,Jiuqiong St. Entrance,121.46841,25.07868,九芎街9號對面
35363,富安國小,Fuan Elementary School,121.4833,25.10596,延平北路八段109號對向(向西)
35364,建安新村,Jianan New Village,121.48116,25.10601,延平北路八段188號(向西)
35366,威靈廟,Weiling Temple,121.4764835,25.10595729,延平北路九段24號
35367,富洲里九段,Fuzhou Li Sec. 9,121.47428149999999,25.10622343,延平北路九段99號對向
35369,台北海大,Taipei University of Maritime Technology,121.47067609999999,25.1085253,延平北路九段247號對向
35379,捷運圓山站,MRT Yuanshan Sta.,121.5202544,25.06988017,玉門街(向北)
35380,花博公園,Taipei Expo Park,121.52129520000001,25.06841334,民族西路同向
35381,大同大學,Tatung U.,121.5242636,25.06834316,大同大學(美術公園)
35383,農安街吉林路口,Nongan and Jilin Intersection,121.5306207,25.06478877,農安街139號對向
25254,萬芳社區,Wanfang Community,121.570431,25.002064,萬美街一段23號對面
25255,萬芳活動中心,Wanfang Activity Center,121.569474,25.002436,萬美街一段萬芳7號公園前
25256,萬芳國小,Wanfang Elementary School,121.56805440013001,25.001037360536,萬和街6號對向
25258,木柵高工,Muzha Vocational High School,121.570733,24.996667000000002,台北市萬芳路42號前
25259,萬芳路口,Wanfang Rd. Entrance,121.57144456648399,24.9935653207503,木柵路四段23號同向
25260,木柵國小,Muzha Elementary School,121.56998290000001,24.9917563,秀明路一段221號同向
25261,華夏六村,Huaxia Village 6,121.566304206745,24.990619526200103,秀明路一段84號同向
25262,久康街口,Jiukang St. Entrance,121.56403300000001,24.98956911,秀明路25號同向
25264,木柵市場,Muzha Market,121.568546705585,24.9883715404261,保儀路12號同向
25265,景文中學(臺灣戲曲學院),Jingwen High School(National Taiwan College of Performing Arts),121.56737,24.98575,保儀路113號斜對面
25266,司法新村,Sifa New Village,121.565878316644,24.9837214466608,保儀路169號
24782,老爺山莊,Laoye Shanzhuang,121.60760104033999,25.114708981538,長青路213巷對面
24784,大湖國小,Dahu Elementary School,121.59955,25.0881,大湖山莊街219號對面
25614,榮光新村(榮總東院),Rongguan New Village(Eastern District of V.G.H.),121.5227594,25.12021257,石牌路二段322號同向
25861,東昇路口,Dongsheng Rd. Entrance,121.5157737,25.14153586,東昇路+泉源路同向
25863,新民國中,Xinmin Junior High School,121.50718,25.13936,新民路10號同向
25864,新北投,Xinbeitou,121.504158979648,25.1376964610609,泉源路1巷(向南)
25866,第一銀行,First Commercial Bank,121.50235879653,25.1345133895389,光明路141號同向
25867,北投市場(磺港),Beitou Market(Huanggang),121.50318,25.13244,公館路39號對向
25868,福安宮,Fuan Temple,121.5046188,25.13064857,公館路91號對向
25869,石門,Shimen,121.50566,25.12933,公館路146號
25870,捷運奇岩站,MRT Qiyan,121.50071319999999,25.12665710000001,捷運奇岩站停車場出口前
25871,大興街口,Daxing St. Entrance,121.499403,25.130578,北投路二段7號對面(向北)
25893,北投站,Beitou Stop,121.492071,25.144595000000002,秀山路
25894,致遠新村,Zhiyuan New Village,121.49078878428499,25.1430158716225,秀山路31號同向
25895,稻香市場,Daoxiang Market,121.48966599999999,25.139733,稻香路45號同向(向南)
25896,復興崗,Fuxinggang,121.4923517,25.13807076,中央北路二段227號同向
25897,文化國小,Wenhua Elementary School,121.49572479999999,25.13669010000001,中央北路二段25號同向
